SRA	ISOLATE	LOCATION	YEAR
SRR4907755	a15_4A_11	Oregon	1990
SRR3740309	a15_3B_9	Oregon	1990
SRR4907760	ISY_Ar_2b	Israel	1992
SRR4907765	ISY_Ar_4b	Israel	1992
SRR11026695	ISY_Ar_15c	Israel	1992
SRR3740267	ISY_Ar_16a	Israel	1992
SRR3740265	ISY_Ar_22f	Israel	1992
SRR4907762	AUS_1C3	Australia	2001
SRR3740293	a12_3B_8	Oregon	1990
SRR3740307	a12_4A_1	Oregon	1990
SRR4907757	a15_3B_3	Oregon	1990
SRR4907750	ISY_Ar_4f	Israel	1992
SRR3740269	ISY_Ar_11i	Israel	1992
SRR3740334	a15_3B_13	Oregon	1990
SRR3740294	a12_4A_2	Oregon	1990
SRR3740329	a15_3B_19	Oregon	1990
SRR3740273	AUS_1E5	Australia	2001
SRR4907763	ISY_Ar_5g	Israel	1992
SRR3740288	a12_4A_7	Oregon	1990
SRR3740322	a15_4A_15	Oregon	1990
SRR3740286	a12_3B_2	Oregon	1990
SRR3740298	a12_3B_3	Oregon	1990
SRR3740305	a12_3B_14	Oregon	1990
SRR3740332	a15_2A_16	Oregon	1990
SRR3740331	a15_4A_10	Oregon	1990
SRR3740311	a15_4A_13	Oregon	1990
SRR3740276	ISY_Ar_12f	Israel	1992
SRR4907767	ISY_Ar_19e	Israel	1992
SRR11413026	WAI321	Australia	2012
SRR11413460	WAI323	Australia	2011
SRR7513103	WAI2000	Australia	2014
SRR7513102	WAI2060	Australia	2014
SRR7513106	WAI2206	Australia	2014
SRR3740350	ST99CH_3F2	Switz	1999
SRR3740314	a15_2A_15	Oregon	1990
SRR11026697	a15_3B_1	Oregon	1990
SRR3740338	ST99CH_3A2	Switz	1999
SRR3740337	ST99CH_3D5	Switz	1999
SRR3740272	ISY_Ar_17r	Israel	1992
SRR3740274	ISY_Ar_18b	Israel	1992
SRR3740302	a12_4A_11	Oregon	1990
SRR3740310	a15_4A_7	Oregon	1990
SRR3740318	a15_4A_17	Oregon	1990
SRR3740287	a12_4A_5	Oregon	1990
SRR3740317	a15_4A_19	Oregon	1990
SRR7513084	WAI1858	Australia	2014
SRR7513086	WAI1875	Australia	2014
SRR7513087	WAI1876	Australia	2014
SRR7513120	WAI1879	Australia	2014
SRR7513121	WAI1880	Australia	2014
SRR7513114	WAI1882	Australia	2014
SRR7513089	WAI1919	Australia	2014
SRR7513090	WAI1941	Australia	2014
SRR7513093	WAI1955	Australia	2014
