Run	Country	Species	Isolation_source	BioSample
ERR1938042	unknown	Candida glabrata	Unknown	SAMEA103980802
ERR1938043	unknown	Candida glabrata	Unknown	SAMEA103980803
ERR1938044	Danmark	Candida glabrata	Blood	SAMEA103980804
ERR1938047	Danmark	Candida glabrata	Unknown	SAMEA103980807
ERR1938048	Danmark	Candida glabrata	Blood	SAMEA103980808
ERR1938050	Danmark	Candida glabrata	Blood	SAMEA103980810
ERR1938051	Danmark	Candida glabrata	Blood	SAMEA103980811
ERR1938052	Danmark	Candida glabrata	Blood	SAMEA103980812
ERR1938053	Danmark	Candida glabrata	Blood	SAMEA103980813
ERR1938054	Danmark	Candida glabrata	Blood	SAMEA103980814
ERR1938055	Danmark	Candida glabrata	Lymph node	SAMEA103980815
ERR1938056	Danmark	Candida glabrata	Palate	SAMEA103980816
ERR1938059	UK	Candida glabrata	Standard strain	SAMEA103980819
ERR1938060	Danmark	Candida glabrata	Feces	SAMEA103980820
ERR1938061	Danmark	Candida glabrata	Throat	SAMEA103980821
ERR1938062	Danmark	Candida glabrata	Unknown	SAMEA103980822
ERR1938063	Danmark	Candida glabrata	Gland	SAMEA103980823
ERR1938066	Danmark	Candida glabrata	Catheter spit	SAMEA103980826
ERR1938067	Danmark	Candida glabrata	Blood	SAMEA103980827
ERR1938068	Danmark	Candida glabrata	Feces	SAMEA103980828
ERR1938069	Danmark	Candida glabrata	Blood	SAMEA103980829
ERR1938070	Danmark	Candida glabrata	Blood	SAMEA103980830
ERR1938071	Danmark	Candida glabrata	Blood	SAMEA103980831
ERR1938072	Danmark	Candida glabrata	Feces	SAMEA103980832
ERR1938077	Danmark	Candida glabrata	Feces	SAMEA103980837
ERR1938078	Danmark	Candida glabrata	Blood	SAMEA103980838
ERR1938079	unknown	Candida glabrata	Feces	SAMEA103980839
ERR1938080	Danmark	Candida glabrata	Feces	SAMEA103980840
ERR1938081	Danmark	Candida glabrata	Blood	SAMEA103980841
SRR13587560	China (Urumqi)	Candida albicans	Blood	SAMN17225155
SRR13587569	China (Changsha)	Candida albicans	Blood	SAMN17225083
SRR13587571	China (Qingdao)	Candida albicans	Ascitic fluid	SAMN17225081
SRR13587575	China (Lanzhou)	Candida albicans	Blood	SAMN17225077
SRR13587583	China (Nanjing)	Candida albicans	Bile	SAMN17225070
SRR13587587	China (Changchun)	Candida albicans	Blood	SAMN17225066
SRR13587591	China (Shenyang)	Candida albicans	Blood	SAMN17225063
SRR13587609	China (Wenzhou)	Candida albicans	Tissue	SAMN17225046
SRR13587615	China (Wuhan)	Candida albicans	Ascitic fluid	SAMN17225041
SRR13587617	China (Wuhan)	Candida albicans	Catheter	SAMN17225039
SRR13587623	China (Hangzhou)	Candida albicans	Ascitic fluid	SAMN17224818
SRR13587626	China (Beijing)	Candida albicans	Ascitic fluid	SAMN17225031
SRR13587657	China (Lishui)	Candida albicans	Pus	SAMN17225003
SRR13587663	China (Nanjing)	Candida albicans	Pleural fluid	SAMN17224997
SRR13587668	China (Guangzhou)	Candida albicans	Ascitic fluid	SAMN17224796
SRR13587672	China (Taizhou)	Candida albicans	Blood	SAMN17224957
SRR13587692	China (Chongqing)	Candida albicans	Blood	SAMN17224939
SRR13587728	China (Guangzhou)	Candida albicans	Blood	SAMN17224828
SRR13587740	China (Kunming)	Candida albicans	Blood	SAMN17225123
SRR13587756	China (Nanjing)	Candida albicans	Blood	SAMN17224802
SRR13587758	China (Beijing)	Candida albicans	Blood	SAMN17224872
SRR13587791	China (Hohhot)	Candida albicans	Blood	SAMN17224918
SRR13587793	China (Nanjing)	Candida albicans	Pus	SAMN17224916
SRR13587807	China (Guangzhou)	Candida albicans	Blood	SAMN17224805
SRR13587814	China (Chengdu)	Candida albicans	Blood	SAMN17224897
SRR13587833	China (Wuhan)	Candida albicans	Ascitic fluid	SAMN17224813
SRR13587839	China (Guangzhou)	Candida albicans	Ascitic fluid	SAMN17224978
SRR13587843	China (Nanning)	Candida albicans	Ascitic fluid	SAMN17224974
SRR13587848	China (Beijing)	Candida albicans	Venous catheter	SAMN17224970
SRR13587856	China (Shanghai)	Candida albicans	Pus	SAMN17224963
SRR13587864	China (Kunming)	Candida albicans	Pus	SAMN17225116
SRR13587865	China (Kunming)	Candida albicans	Blood	SAMN17225115
SRR13587870	China (Harbin)	Candida albicans	Ascitic fluid	SAMN17225111
SRR13587873	China (Harbin)	Candida albicans	Pus	SAMN17225108
SRR13587889	China (Guangzhou)	Candida albicans	Blood	SAMN17224824
SRR14381442	UK	Candida glabrata	peripheral blood culture	SAMN18953783
SRR14381443	UK	Candida glabrata	ascitic fluid	SAMN18953782
SRR14381444	UK	Candida glabrata	culture	SAMN18953781
SRR14381445	UK	Candida glabrata	peripheral blood culture	SAMN18953780
SRR14381446	UK	Candida glabrata	culture	SAMN18953779
SRR14381449	UK	Candida glabrata	Blood Culture	SAMN18953802
SRR14381450	UK	Candida glabrata	Blood culture	SAMN18953801
SRR14381451	UK	Candida glabrata	drain	SAMN18953777
SRR14381452	UK	Candida glabrata	Culture for ID	SAMN18953800
SRR14381454	UK	Candida glabrata	central line blood culture	SAMN18953798
SRR14381458	UK	Candida glabrata	ascitic fluid	SAMN18953776
SRR14381459	UK	Candida glabrata	venous blood culture	SAMN18953796
SRR14381460	UK	Candida glabrata	Culture for ID	SAMN18953793
SRR14381461	UK	Candida glabrata	Culture for ID	SAMN18953792
SRR14381462	UK	Candida glabrata	Culture for ID	SAMN18953791
SRR14381463	UK	Candida glabrata	Blood Culture	SAMN18953790
SRR14381464	UK	Candida glabrata	Blood Culture	SAMN18953788
SRR14381465	UK	Candida glabrata		SAMN18953787
SRR14381466	UK	Candida glabrata	wound swab	SAMN18953786
SRR14381467	UK	Candida glabrata	peripheral blood culture	SAMN18953789
SRR14381468	UK	Candida glabrata	Fluid	SAMN18953785
SRR14381469	UK	Candida glabrata	BAL	SAMN18953784
SRR14381470	UK	Candida glabrata	sputum	SAMN18953775
SRR1544598	USA	Candida albicans	Oropharanyx	SAMN02980775
SRR1544616	USA	Candida albicans	Oropharanyx	SAMN02980776
SRR1544621	USA	Candida albicans	Oropharanyx	SAMN02980777
SRR1544681	USA	Candida albicans	Oropharanyx	SAMN02980779
SRR1544691	USA	Candida albicans	Oropharanyx	SAMN02980780
SRR15498424	Taiwan	Candida glabrata	Mouth	SAMN06233959
SRR15498425	Australia: Sydney	Candida glabrata	blood	SAMN04457271
SRR15498426	USA	Candida glabrata	blood	SAMN06115384
SRR15498427	Belgium	Candida glabrata	stool	SAMN06115077
SRR15498428	Taiwan	Candida glabrata	Mouth	SAMN06233959
SRR15498429	USA	Candida glabrata	blood	SAMN06233961
SRR15498430	USA	Candida glabrata	blood	SAMN06115073
SRR15498431	France	Candida glabrata	stool	SAMN06233956
SRR15498432	France	Candida glabrata	stool	SAMN06233956
SRR15498433	USA	Candida glabrata	blood	SAMN06115384
SRR15498434	USA	Candida glabrata	blood	SAMN06233926
SRR15498435	Taiwan	Candida glabrata	Mouth	SAMN06233959
SRR15498436	Belgium	Candida glabrata	stool	SAMN06115077
SRR15498437	USA	Candida glabrata	blood	SAMN06115384
SRR15498438	France	Candida glabrata	stool	SAMN06233956
SRR15498439	France	Candida glabrata	stool	SAMN06233956
SRR15498440	USA	Candida glabrata	blood	SAMN06115073
